Window Length,# Factors (decomposition),Event Timestamp,Event activity score
6,3,0,145
6,3,1,88
6,3,10,70
6,3,11,73
6,3,18,77
6,3,20,91
6,3,22,129
6,3,29,100
6,3,24,94
6,3,28,73
6,3,34,72
6,3,42,85
6,3,53,82
6,3,48,85
6,3,49,105
6,3,56,132
6,3,59,48
6,3,65,101
6,3,60,82
6,3,64,102
6,3,68,4
6,3,66,98
6,3,73,72
6,3,72,66
6,3,77,80
6,3,83,53
6,3,95,70
6,3,107,79
6,3,113,64
6,3,108,70
6,3,114,98
6,3,125,116
6,3,124,76
6,3,133,89
6,3,140,62
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
6,5,0,135
6,5,1,124
6,5,11,84
6,5,10,60
6,5,13,65
6,5,18,77
6,5,20,91
6,5,22,129
6,5,29,110
6,5,24,109
6,5,26,81
6,5,34,61
6,5,35,74
6,5,38,92
6,5,37,63
6,5,45,63
6,5,42,85
6,5,48,68
6,5,49,83
6,5,53,69
6,5,56,117
6,5,59,65
6,5,65,101
6,5,64,100
6,5,60,86
6,5,63,93
6,5,66,90
6,5,73,66
6,5,72,67
6,5,77,94
6,5,74,81
6,5,75,94
6,5,83,58
6,5,81,80
6,5,87,93
6,5,92,81
6,5,95,83
6,5,97,58
6,5,96,58
6,5,98,118
6,5,107,62
6,5,106,113
6,5,113,84
6,5,108,68
6,5,114,59
6,5,115,60
6,5,125,111
6,5,124,89
6,5,121,102
6,5,128,117
6,5,137,91
6,5,133,73
6,5,140,77
6,5,138,130
Window Length,# Factors (decomposition),Event Timestamp,Event activity score
6,6,0,83
6,6,1,113
6,6,4,77
6,6,5,82
6,6,11,85
6,6,10,103
6,6,16,92
6,6,13,92
6,6,18,77
6,6,20,91
6,6,22,129
6,6,23,152
6,6,29,108
6,6,24,95
6,6,28,116
6,6,25,104
6,6,26,93
6,6,27,95
6,6,34,61
6,6,35,74
6,6,38,92
6,6,37,65
6,6,45,63
6,6,42,85
6,6,43,88
6,6,53,75
6,6,48,67
6,6,49,74
6,6,50,72
6,6,51,77
6,6,56,114
6,6,59,63
6,6,58,100
6,6,65,100
6,6,64,99
6,6,63,92
6,6,60,93
6,6,66,90
6,6,72,113
6,6,73,89
6,6,77,100
6,6,74,104
6,6,75,71
6,6,76,86
6,6,83,86
6,6,82,73
6,6,81,63
6,6,87,79
6,6,92,18
6,6,95,59
6,6,91,32
6,6,97,108
6,6,96,122
6,6,98,110
6,6,100,113
6,6,106,74
6,6,107,68
6,6,113,8
6,6,108,72
6,6,114,63
6,6,115,60
6,6,125,91
6,6,120,104
6,6,124,103
6,6,121,98
6,6,123,96
6,6,122,113
6,6,128,116
6,6,137,92
