timestamp,number of models detected,activity score,,Rank
38,15,108,0.19600726,1
137,14,119,0.215970962,2
87,14,108,0.19600726,3
128,13,145,0.263157895,4
84,12,111,0.201451906,5
86,12,108,0.19600726,6
60,12,97,0.176043557,7
64,12,89,0.161524501,8
59,12,83,0.150635209,9
127,11,131,0.237749546,10
56,10,130,0.235934664,11
16,10,111,0.201451906,12
13,10,95,0.172413793,13
37,9,99,0.179673321,14
11,9,91,0.165154265,15
34,9,86,0.156079855,16
83,9,76,0.137931034,17
138,8,128,0.2323049,18
113,8,69,0.12522686,19
81,8,62,0.112522686,20
39,7,124,0.225045372,21
15,7,114,0.206896552,22
42,7,84,0.152450091,23
106,7,84,0.152450091,24
133,7,82,0.148820327,25
63,7,81,0.147005445,26
85,7,78,0.141560799,27
35,7,75,0.136116152,28
10,7,73,0.132486388,29
40,6,125,0.226860254,30
17,6,98,0.177858439,31
108,6,71,0.128856624,32
65,5,112,0.203266788,33
107,5,79,0.143375681,34
82,5,65,0.117967332,35
116,5,65,0.117967332,36
12,4,99,0.179673321,37
66,4,98,0.177858439,38
18,4,72,0.130671506,39
111,4,67,0.121597096,40
105,4,64,0.11615245,41
110,4,64,0.11615245,42
135,4,63,0.114337568,43
22,3,129,0.234119782,44
0,3,121,0.219600726,45
41,3,115,0.208711434,46
36,3,114,0.206896552,47
1,3,108,0.19600726,48
29,3,106,0.192377495,49
125,3,106,0.192377495,50
24,3,99,0.179673321,51
58,3,93,0.168784029,52
20,3,91,0.165154265,53
77,3,91,0.165154265,54
124,3,89,0.161524501,55
49,3,87,0.157894737,56
96,3,86,0.156079855,57
134,3,83,0.150635209,58
72,3,82,0.148820327,59
53,3,75,0.136116152,60
73,3,75,0.136116152,61
48,3,73,0.132486388,62
114,3,73,0.132486388,63
95,3,70,0.127041742,64
104,3,62,0.112522686,65
61,3,57,0.103448276,66
51,3,44,0.079854809,67
2,3,40,0.072595281,68
98,2,114,0.206896552,69
126,2,105,0.190562613,70
112,2,102,0.185117967,71
121,2,100,0.181488203,72
28,2,94,0.170598911,73
74,2,92,0.166969147,74
57,2,88,0.159709619,75
26,2,87,0.157894737,76
97,2,83,0.150635209,77
75,2,82,0.148820327,78
14,2,82,0.148820327,79
136,2,81,0.147005445,80
140,2,69,0.12522686,81
132,2,68,0.123411978,82
45,2,63,0.114337568,83
102,2,62,0.112522686,84
115,2,60,0.108892922,85
118,2,58,0.105263158,86
27,2,51,0.092558984,87
31,2,50,0.090744102,88
92,2,49,0.08892922,89
88,2,29,0.052631579,90
129,1,161,0.292196007,91
23,1,152,0.275862069,92
9,1,118,0.21415608,93
6,1,114,0.206896552,94
100,1,113,0.20508167,95
122,1,113,0.20508167,96
32,1,110,0.199637024,97
25,1,104,0.188747731,98
120,1,104,0.188747731,99
123,1,96,0.174228675,100
43,1,88,0.159709619,101
76,1,86,0.156079855,102
5,1,82,0.148820327,103
67,1,82,0.148820327,104
4,1,77,0.139745917,105
50,1,72,0.130671506,106
131,1,70,0.127041742,107
8,1,67,0.121597096,108
91,1,32,0.058076225,109
68,1,4,0.007259528,110
3,0,0,0,111
7,0,0,0,112
19,0,0,0,113
21,0,0,0,114
30,0,0,0,115
33,0,0,0,116
44,0,0,0,117
46,0,0,0,118
47,0,0,0,119
52,0,0,0,120
54,0,0,0,121
55,0,0,0,122
62,0,0,0,123
69,0,0,0,124
70,0,0,0,125
71,0,0,0,126
78,0,0,0,127
79,0,0,0,128
80,0,0,0,129
89,0,0,0,130
90,0,0,0,131
93,0,0,0,132
94,0,0,0,133
99,0,0,0,134
101,0,0,0,135
103,0,0,0,136
109,0,0,0,137
117,0,0,0,138
119,0,0,0,139
130,0,0,0,140
139,0,0,0,141
141,0,0,0,142
142,0,0,0,143
143,0,0,0,144
